B62K	自行车；自行车架；自行车转向装置；专门适用于自行车乘骑者操作的终端控制装置；自行车轴悬挂装置；自行车跨斗，前车或类似附加车辆
B62L	专门适用于自行车的制动器
B62M	乘骑者驱动的轮式车辆或滑橇；动力驱动的滑橇或自行车；专门适用于这些交通工具的传动装置
B63B	船舶或其它水上船只；船用设备
B63C	船只下水，拖出或进干坞；水中救生；用于水下居住或作业的设备；用于打捞或搜索水下目标的装置
B63G	舰艇上的攻击或防御装置；布雷；扫雷；潜艇；航空母舰
B63H	船舶的推进装置或操舵装置
B63J	船上辅助设备
B64B	轻于空气的飞行器
B64C	飞机；直升飞机
B64D	用于与飞机配合或装到飞机上的设备；飞行衣；降落伞；动力装置或推进传动装置的配置或安装
B64F	地面设施或航空母舰甲板设施
B64G	宇宙航行；及其所用的飞行器或设备
B65B	包装物件或物料的机械，装置或设备，或方法；启封
B65C	贴标签或签条的机械、装置、或方法
B65D	用于物体或物料贮存或运输的容器，如袋、桶、瓶子、箱盒、罐头、纸板箱、板条箱、圆桶、罐、槽、料仓、运输容器；所用的附件、封口或配件；包装元件；包装件
B65F	家庭的或类似的垃圾的收集或清除
B65G	运输或贮存装置，例如装载或倾斜用输送机；车间输送机系统；气动管道输送机
B65H	搬运薄的或细丝状材料，如薄板、条材、缆索
B66B	升降机；自动扶梯或移动人行道
B66C	起重机；用于起重机、绞盘、绞车或滑车的载荷吊挂元件或装置
B66D	绞盘；绞车；滑车；如滑轮组；葫芦
B66F	其它类不包括的卷扬、提升、牵引或推动，如把提升力或推动力直接作用于载荷表面的装置
B67B	将封闭件封装在瓶子、罐或类似容器上；密闭容器的开启
B67C	其它类不包括的瓶子，罐，罐头，木桶，桶或类似容器的灌注液体或半液体或排空；漏斗
B67D	其它类未列入的液体分配、输送或转送装置
B68B	马具；与马具有关的装置；鞭子或类似物
B68C	鞍座；镫
B68F	皮革、帆布或类似材料制品的制作
B68G	用于家具罩面的方法、设备或机器；其它类不包括的家具罩面
B81B	微观结构的装置或系统，例如，微观机械装置
B81C	特别适用于制造或处理微观结构的装置或系统的方法或设备
B82B	超微结构；超微结构的制造或处理
C01B	非金属元素；其化合物
C01C	氨；氰；其化合物
C01D	碱金属，即锂、钠、钾、铷、铯或钫的化合物
C01F	金属铍、镁、铝、钙、锶、钡、镭、钍的化合物，或稀土金属的化合物
C01G	含有未列入C01D或C01F小类之金属的化合物
C02F	水、废水、污水或污泥的处理
C03B	制造、成型及辅助工艺
C03C	玻璃、釉或搪瓷釉的化学成分；玻璃的表面处理；由玻璃、矿物或矿渣制成的纤维或细丝的表面处理；玻璃与玻璃或与其它材料的接合
C04B	石灰；氧化镁；矿渣；水泥；其组合物，例如砂浆、混凝土或类似的建筑材料；人造石；陶瓷；耐火材料；天然石的处理
C05B	磷肥
C05C	氮肥
C05D	未列入C05B、C小类的无机肥料；产生二氧化碳的肥料
C05F	未列入C05B、C小类的有机肥料、如用废物或垃圾制成的肥料
C05G	分属于C05大类下各小类中肥料的混合物；由一种或多种肥料与无特殊肥效的物质，例如农药、土壤调理剂、润湿剂所组成的混合物；以形状为特征的肥料
C06B	炸药或热剂的组合物；其制造；用单种物质作炸药
C06C	起爆或点火装置；引信；化学点火具；点火剂
C06D	烟雾发生装置；毒气攻击剂；爆炸或推进用气体的产生(化学部分)
C06F	火柴；火柴的制造
C07B	有机化学的一般方法；及所用的装置
C07C	无环或碳环化合物
C07D	杂环化合物
C07F	含除碳、氢、卤素、氧、氮、硫、硒或碲以外的其他元素的无环，碳环或杂环化合物
C07G	未知结构的化合物
C07H	糖类；及其衍生物；核苷；核苷酸；核酸
C07J	甾族化合物
C07K	肽
CO7M	与C07B至K小类相关的，涉及有机化合物特殊性质的引得表
C08B	多糖类；其衍生物
C08C	橡胶的处理或化学改性
C08F	仅用碳-碳不饱和键反应得到的高分子化合物
C08G	用碳-碳不饱和键以外的反应得到的高分子化合物
C08H	天然高分子化合物的衍生物
C08J	加工；配料的一般工艺过程；不包括在C08B、C、F、G小类中的后处理
C08K	使用无机物或非高分子有机物作为配料
C08L	高分子化合物的组合物
C09B	有机染料或用于制造染料的有关化合物；媒染剂；色淀
C09C	纤维状填料以外的无机材料的处理以增强它们的着色或填充性能；炭黑的制备
C09D	涂料组合物，例如色漆、清漆、天然漆；填充浆料；化学涂料或油墨的去除剂；油墨；改正液；木材着色剂；用于着色或印刷的浆料或固体；原料为此的应用
C09F	天然树脂；虫胶清漆；干性油；催干剂(干料)；松节油
C09G	虫胶清漆除外的抛光组合物；滑雪屐蜡
C09H	动物胶或明胶的制备
C09J	粘合剂；一般粘合方法(非机械部分)；其它类目不包括的粘合方法；粘合剂材料的应用
C09K	未列入其它类目的各种应用的材料
C10B	含碳物料的干馏生产煤气、焦炭、焦油或类似物
C10C	焦油，焦油沥青，石油沥青，天然沥青的加工；焦木酸
C10F	泥煤的干燥或加工
C10G	烃油裂化；液态烃混合物的制备，如用破坏性加氢反应，低聚反应，聚合反应；从油页岩，油矿或油气中回收烃油；含烃类为主的混合物的精制；石脑油的重整；地蜡
C10H	乙炔的湿法生产
C10J	由固态含碳物料生产发生炉煤气，水煤气、合成气或生产含这些气体的混合物；空气或其它气体的增碳
C10K	含一氧化碳可燃气体化学组合物的净化和改良
C10L	未列入其它类目的燃料；天然气用；C10G，C10K小类不包括的方法得到的合成天然气；液化石油气；为减少烟雾或不需要的积垢，或为易于除去烟垢而在燃料或火中加入的物质；引火物
C10M	润滑组合物；在润滑组合物中化学物质或单独使用或用作润滑组分
C10N	与C10M小类有关的引得表
C11B	生产(压榨、萃取)、精制或保藏脂、脂肪物质(例如羊毛脂)、脂油或蜡，包括从废料中萃取；香精油；香料
C11C	从脂肪、油或蜡中获得的脂肪酸；蜡烛；脂肪、油或由其得到的脂肪酸经化学改性而获得的脂、油或脂肪酸
C11D	洗涤剂组合物；用单一物质作为洗涤剂；皂或制皂；树脂皂；甘油的回收
C12C	啤酒的酿造
